类型,编号,论断,数值,单位,发布方/推理,URL,置信度,取数日期,备注
来源,kw_zero_weeks,锚点热词近 53 周中取值为 0 的周数,50,周,本项目 Google Trends 实测,https://trends.google.com/trends/explore?geo=US&q=social%20security%20electronic%20benefits%20update,A,2026-07-26,美国区 2025-07-20 至 2026-07-19 周粒度，实时抓取可复现（model/fetch_trends.py）；非零周仅 3 个：06-07=100、06-14=4、06-21=1。前置调研口头汇报的'46 周'与其自列的非零周清单相矛盾，以本次实抓数据为准
来源,kw_total_weeks,锚点热词观测总周数,53,周,本项目 Google Trends 实测,https://trends.google.com/trends/explore?geo=US&q=social%20security%20electronic%20benefits%20update,A,2026-07-26,
来源,kw_12mo_avg,锚点热词近 12 个月平均热度（满分 100）,1.98,指数,本项目 Google Trends 实测,https://trends.google.com/trends/explore?geo=US&q=social%20security%20electronic%20benefits%20update,A,2026-07-26,
来源,kw_alive_days,锚点热词从起量到归零的存活天数,9,天,本项目 Google Trends 实测（日粒度）,https://trends.google.com/trends/explore?geo=US&q=social%20security%20electronic%20benefits%20update,A,2026-07-26,2026-06-10 起量，06-11 峰值，06-19 起归零
来源,kw_peak_date,锚点热词峰值日,2026-06-11,日期,本项目 Google Trends 实测,https://trends.google.com/trends/explore?geo=US&q=social%20security%20electronic%20benefits%20update,A,2026-07-26,与 USA TODAY 报道 SSA 全面电子化同日
来源,kw_zero_since,锚点热词归零起始日,2026-06-19,日期,本项目 Google Trends 实测,https://trends.google.com/trends/explore?geo=US&q=social%20security%20electronic%20benefits%20update,A,2026-07-26,
来源,kw_capture_day_decay,原计划书采集日（06-12）相对峰值的衰减,67,%,本项目 Google Trends 实测,https://trends.google.com/trends/explore?geo=US&q=social%20security%20electronic%20benefits%20update,A,2026-07-26,峰值 100 → 采集日 33
来源,kw_peak_vs_head,锚点热词历史峰值 vs 头部词 social security 的相对量级,9,指数(对方=100),本项目 Google Trends 实测,https://trends.google.com/trends/explore?geo=US&q=social%20security,A,2026-07-26,
来源,trends_bucket_nature,Trending Now 的搜索量为短窗口分桶标签而非月均搜索量,bucketed,定性,Google Trends 官方说明 / Trending Now,https://support.google.com/trends/answer/4365533,A,2026-07-26,原计划书把 24 小时分桶标签 200K+ 当作月均量并乘季节系数
来源,usatoday_trigger,触发热词的新闻源：USA TODAY 报道 SSA 年内完成全面电子化,2026-06-11,日期,USA TODAY,https://www.usatoday.com/story/money/2026/06/11/social-security-benefits-electronic-payment/90506560007/,A,2026-07-26,
